key,BR,DE,EE,EN,ES LATAM,ES,FR,IT,JA,KO,PL,PT,RU,TR,UA,ZHS,ZHT
<!MissingKey:IS ALREADY ASSIGNED TO %s. DO YOU WISH TO OVERWRITE THE ACTION?>,JÁ ESTÁ ATRIBUÍDO A %s. DESEJA SUBSTITUIR A AÇÃO?,IST BEREITS %s ZUGEWIESEN. MÖCHTEST DU DIE AKTION ÜBERSCHREIBEN?,ON JUBA SEADISTATUD %s NUPULE. KAS SOOVID ÜLEKIRJUTADA?,IS ALREADY ASSIGNED TO %s. DO YOU WISH TO OVERWRITE THE ACTION?,YA ESTÁ ASIGNADO A %S. ¿QUIERES REASIGNAR ESTA ACCIÓN?,YA ESTÁ ASIGNADO A %s. ¿QUIERES REASIGNAR ESTA ACCIÓN?,"EST DÉJÀ ATTRIBUÉ À %s. 
SOUHAITEZ-VOUS REMPLACER L'ACTION ?",TASTO GIÀ ASSEGNATO ALL'AZIONE %s. VUOI SOVRASCRIVERE L'AZIONE?,すでに%sに割り当てられています操作キーを上書きしますか？,이미 %s에 배정되어 있습니다. 액션을 덮어쓰기 할까요?,JUŻ JEST PRZYPISANE DO %s. CHCESZ ZASTĄPIĆ PRZYPISANIE?,JÁ ESTÁ ATRIBUÍDO A %s. DESEJA SUBSTITUIR A AÇÃO?,— УЖЕ НАЗНАЧЕНО: %s. ИЗМЕНИТЬ ЭТО ДЕЙСТВИЕ?,ZATEN %s TUŞUNA ATANMIŞ. BU EYLEMİN ÜZERİNE ATAMAK İSTİYOR MUSUNUZ?,— УЖЕ ПРИЗНАЧЕНО: %s. ЗМІНИТИ ЦЮ ДІЮ?,已分配给 %s是否要覆盖该操作？,已分配給 %s是否要覆蓋該操作？
SEQUENCE3,TERCEIRO CARTUCHO.,DRITTE PATRONE.,KOLMAS PADRUN ...,THIRD SHELL ...,TERCER CARTUCHO ...,TERCER CARTUCHO.,TROISIÈME CARTOUCHE.,TERZO PROIETTILE.,三発目……,세 번째 탄,TRZECI NABÓJ.,TERCEIRO CARTUCHO ...,ТРЕТИЙ ПАТРОН ...,ÜÇÜNCÜ FİŞEK,ТРЕТІЙ ПАТРОН.,第三发子弹,第三發子彈
NAVIGATE UP,MOVER PARA CIMA,NACH OBEN BEWEGEN,LIIGU ÜLES,MOVE UP,ARRIBA,ARRIBA,HAUT,VAI SOPRA,上,위로 이동,RUCH W GÓRĘ,MOVER PARA CIMA,ДВИЖЕНИЕ ВВЕРХ,YUKARI GİT,ВГОРУ,向上移动,向上移動
SHOTGUN DESC,"ATIRAR EM SI MESMO COM UMA MUNIÇÃO DE FESTIM
FAZ COM QUE O DEALER PERCA O PRÓXIMO TURNO.","DICH MIT EINER PLATZPATRONE ANZUSCHIESSEN,
ÜBERSPRINGT DEN ZUG DES GEBERS.","ENDA TULISTAMINE TÜHJAGA
JÄTAB DIILERI KÄIGU VAHELE.","SHOOTING YOURSELF WITH A BLANK
SKIPS THE DEALER'S TURN.","DISPARARTE CON UNA BALA DE FOGUEO
HACE QUE EL REPARTIDOR SE SALTE SU TURNO.","DISPARARTE CON UNA BALA DE FOGUEO
HACE QUE EL REPARTIDOR PIERDA SU TURNO.","SI VOUS VOUS TIREZ UNE CARTOUCHE INERTE DESSUS,
LE DONNEUR PASSE SON TOUR.","SPARANDOTI CON UN PROIETTILE A SALVE,
IL TURNO DEL BANCO  SALTERÀ.","自分へ撃って空包なら
ディーラーのターンをスキップ","공포탄으로 나를 쏘면
 딜러의 턴을 건너뜁니다.","POSTRZELENIE SIĘ ŚLEPYM NABOJEM POWODUJE
OPUSZCZENIE KOLEJKI PRZEZ KRUPIERA.","DISPARA CONTRA TI MESMO COM UMA MUNIÇÃO SEM BALA E 
EVITA O TURNO DO DEALER.","ДИЛЕР ПРОПУСТИТ ХОД, ЕСЛИ ВЫ 
ВЫСТРЕЛИТЕ В СЕБЯ ХОЛОСТЫМ","KENDİNİ BOŞ BİR SİLAHLA VURMAK
KURPİYERİN SIRASINI ATLAR.","ЯКЩО ВИСТРІЛИТИ В СЕБЕ ХОЛОСТИМ ПАТРОНОМ, КРУП'Є ПРОПУСТИТЬ ХІД.","用空包弹射击自己
会使庄家此回合无法行动","用空包彈射擊自己
會使莊家此回合無法行動"
FRENCH,FRANÇAIS,FRANÇAIS,FRANÇAIS,FRANÇAIS,FRANÇAIS,FRANÇAIS,FRANÇAIS,FRANÇAIS,FRANÇAIS,FRANÇAIS,FRANÇAIS,FRANÇAIS,FRANÇAIS,FRANÇAIS,FRANÇAIS,FRANÇAIS,FRANÇAIS
ITALIAN,ITALIANO,ITALIANO,ITALIANO,ITALIANO,ITALIANO,ITALIANO,ITALIANO,ITALIANO,ITALIANO,ITALIANO,ITALIANO,ITALIANO,ITALIANO,ITALIANO,ITALIANO,ITALIANO,ITALIANO
HOLD TO EXIT,MANTENHA %s PRESSIONADO PARA SAIR...,HALTE %s ZUM VERLASSEN ...,"HOIA '%s' NUPPU, ET LAHKUDA ...",HOLD '%s' TO EXIT ...,MANTÉN PULSADO '%s' PARA SALIR...,MANTÉN PULSADO %s PARA SALIR...,MAINTENEZ %s APPUYÉ POUR QUITTER...,PREMI %s PER USCIRE...,%s長押しで退出……,%s 길게 눌러 나가기...,"PRZYTRZYMAJ %s, ABY WYJŚĆ...",MANTENHA '%s' PRESSIONADO PARA SAIR...,"УДЕРЖИВАЙТЕ '%s', ЧТОБЫ ВЫЙТИ ...",ÇIKMAK İÇİN %s TUŞUNA BASILI TUTUN ...,"УТРИМУЙТЕ %s, ЩОБ ВИЙТИ…",长按 %s 退出……,長按 %s 退出……
TURKISH,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE
SPANISH,ESPAÑOL,ESPAÑOL,ESPAÑOL,ESPAÑOL,ESPAÑOL,ESPAÑOL,ESPAÑOL,ESPAÑOL,ESPAÑOL,ESPAÑOL,ESPAÑOL,ESPAÑOL,ESPAÑOL,ESPAÑOL,ESPAÑOL,ESPAÑOL,ESPAÑOL
CREDITS,CRÉDITOS,CREDITS,TEGIJAD,CREDITS,CRÉDITOS,CRÉDITOS,CRÉDITS,TITOLI DI CODA,クレジット,제작진,TWÓRCY GRY,CRÉDITOS,СОЗДАТЕЛИ,KÜNYE,АВТОРИ,开发团队,製作群
FINAL SHOW1,"POR FIM, CHEGAMOS
AO DUELO FINAL.","ENDLICH KOMMEN WIR
ZUM FINALEN SHOWDOWN.","LÕPUKS OMETI, JÕUAME
VIIMASELE VOORULE.","LONG LAST, WE ARRIVE
AT THE FINAL SHOWDOWN.","POR FIN, LLEGAMOS AL
DUELO FINAL.","POR FIN, LLEGAMOS AL
DUELO FINAL.","ON ARRIVE ENFIN AU MOMENT 
DE VÉRITÉ","FINALMENTE, ECCOCI
ALLO SCONTRO FINALE.","ついに
最終決戦の時だ","드디어 마지막 승부를
 겨룰 때가 왔군.","W KOŃCU DOCIERAMY
DO OSTATECZNEGO STARCIA.","AFINAL, CHEGAMOS
NO DUELO FINAL.",ЧТО Ж... ВОТ И ПОДОШЛО ВРЕМЯ ФИНАЛЬНОЙ ДУЭЛИ.,"SON ÇATIŞMAYA VARDIK
UZUN SÜRE SONUNDA",НАРЕШТІ МИ ПОЧИНАЄМО,"终于，我们来到了
 最终的决战","終於，我們來到了
 最終的決戰"
FINAL SHOW2,"CHEGA DE DESFIBRILADORES.
CHEGA DE TRANSFUSÕES DE SANGUE.","KEINE DEFIBRILLATOREN MEHR.
KEINE BLUTTRANSFUSIONEN MEHR.","EI MINGEID MASINAID,
EI MINGIT VEREPUMPAMIST.","NO MORE DEFIBRILLATORS.
NO MORE BLOOD TRANSFUSIONS.","SE ACABARON LOS DESFIBRILADORES.
SE ACABARON LAS TRANSFUSIONES DE SANGRE.","SE ACABARON LOS DESFIBRILADORES.
SE ACABARON LAS TRANSFUSIONES DE SANGRE.","FINIS LES DÉFIBRILLATEURS.
FINIES LES TRANSFUSIONS SANGUINES.","BASTA COI DEFIBRILLATORI
E LE TRASFUSIONI DI SANGUE.","除細動器なし
輸血もなしだ","제세동기도 없고
 수혈도 금지야.","ŻADNYCH DEFIBRYLATORÓW.
ŻADNYCH TRANSFUZJI.","CHEGA DE DESFIBRILADORES.
CHEGA DE TRANSFUSÕES DE SANGUE.","БОЛЬШЕ НИКАКИХ ДЕФИБРИЛЛЯТОРОВ.
НИКАКИХ ПЕРЕЛИВАНИЙ КРОВИ.","ARTIK DEFİBRİLATÖR YOK.
KAN NAKİLLERİ YOK.","ЖОДНИХ ДЕФІБРИЛЯТОРІВ.
ЖОДНИХ ПЕРЕЛИВАНЬ КРОВІ.","不再有心脏除颤器，
也没有输血","不再有心臟除顫器，
 也沒有輸血"
FINAL SHOW3,"AGORA, EU E VOCÊ ESTAMOS DANÇANDO
ENTRE A VIDA E A MORTE.","ICH UND DU, WIR TANZEN JETZT
AM RANDE VON LEBEN UND TOD.","NÜÜD, MINA JA SINA, ME TANTSIME
ELU JA SURMA ÄÄRE PEAL.","NOW, ME AND YOU, WE ARE DANCING
ON THE EDGE OF LIFE AND DEATH.","AHORA, TÚ Y YO BAILAREMOS
AL BORDE DE LA VIDA Y LA MUERTE.","AHORA, TÚ Y YO BAILAREMOS
AL BORDE DE LA VIDA Y LA MUERTE.","MAINTENANT, TOI ET MOI, ON VA DANSER
ENTRE LA VIE ET LA MORT.","SIAMO SOLO IO E TE, PRONTI A DANZARE
A METÀ TRA LA VITA E LA MORTE.","さあ共に
生死の狭間で踊ろうか","너랑 나, 나랑 너 둘이서
 삶과 죽음의 경계에서 춤추는 거지.","TERAZ TY I JA TAŃCZYMY
NA KRAWĘDZI ŻYCIA I ŚMIERCI.","AGORA, EU E TU, ESTAMOS A
DANÇAR ENTRE A VIDA E A MORTE.","ТОЛЬКО ТЫ И Я. И НАШ ПОСЛЕДНИЙ ТАНЕЦ 
НА ГРАНИ ЖИЗНИ И СМЕРТИ.","ŞİMDİ, SEN VE BEN, DANS EDİYORUZ
YAŞAM VE ÖLÜMÜN KIYISINDA.","ЦЕ НАШ ОСТАННІЙ ТАНЕЦЬ
НА КРАЮ ЖИТТЯ І СМЕРТІ.","现在，你我二人在
 生与死的边缘起舞","現在，你我二人在
 生與死的邊緣起舞"
ARE YOU READY,TUDO PRONTO?,BIST DU BEREIT?,OLED VALMIS?,ARE YOU READY?,¿TODO LISTO?,¿TODO LISTO?,C'EST PARTI ?,INIZIAMO?,覚悟はいいか？,준비 됐나?,CZY JESTEŚ GOTÓW?,PRONTO?,ГОТОВ?,HAZIR MISIN?,ПОЧНЕМО?,准备好了吗？,準備好了嗎？
SHELLS EJECTED,CARTUCHOS EJETADOS,PATRONEN AUSGEWORFEN,HÜLSSE HEIDETUD ...,SHELLS EJECTED .....,CARTUCHOS EXPULSADOS ..,CARTUCHOS EXPULSADOS,CARTOUCHES ÉJECTÉES,PROIETTILI ESPULSI,排莢数………………,탄피 배출 수,WYRZUCONE NABOJE,CARTUCHOS EJETADOS .....,ИЗВЛЕЧЕНО ПАТРОНОВ ...,FİŞEKLER ÇIKARILDI,ВИЙНЯТО ПАТРОНІВ,弹出的子弹,彈出的子彈
JAPANESE,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語
MORE ITEMS,"MAIS ITENS ANTES DE
CADA RECARGA DA ARMA.","MEHR GEGENSTÄNDE VOR
JEDER LADUNG.","ROHKEM ASJU
ENNE IGAT LAADIMIST.","MORE ITEMS BEFORE
EVERY LOAD.","MÁS OBJETOS ANTES
DE CADA RECARGA.","MÁS OBJETOS ANTES
DE CADA RECARGA.","PLUS D'OBJETS AVANT
CHAQUE RECHARGE.","PIÙ OGGETTI PRIMA
DI OGNI RICARICA DELL'ARMA.",装弾のたびに道具追加,"장전하기 전에
 더 많은 아이템을 주지.","WIĘCEJ PRZEDMIOTÓW
PRZED KAŻDYM ŁADOWANIEM.","MAIS ITENS ANTES
CADA RECARGA.","БОЛЬШЕ ПРЕДМЕТОВ 
ПЕРЕД КАЖДЫМ РАУНДОМ.",HER DOLUM ÖNCESİNDE DAHA FAZLA ÖĞE.,"ДОДАТКОВІ ПРЕДМЕТИ ПЕРЕД 
КОЖНИМ ЗАРЯДЖАННЯМ.","每次装弹之前都可
获得更多道具","每次裝彈之前都可
獲得更多道具"
ATTRIBUTION SPECIAL THANKS,"AGRADECIMENTOS ESPECIAIS

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL suporte
nicolith","SPECIALE DANKBETUIGINGEN

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL unterstützung
nicolith","ERILINE TÄNU

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL implementatsioon
nicolith","SPECIAL THANKS

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL support
nicolith","AGRADECIMIENTOS ESPECIALES

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL apoyo
nicolith","AGRADECIMIENTOS ESPECIALES

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL soporte
nicolith","REMERCIEMENTS PARTICULIERS

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL soutien
nicolith","RINGRAZIAMENTI SPECIALI

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL supporto
nicolith","スペシャルサンクス

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL support
nicolith","특별 감사

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL 지원
nicolith","SPECJALNE PODZIĘKOWANIA

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL wsparcie
nicolith","AGRADECIMENTOS ESPECIAIS

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL suporte
nicolith","ОСОБАЯ БЛАГОДАРНОСТЬ

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL помощь
nicolith","ÖZEL TEŞEKKÜRLER

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL destek
nicolith","ОКРЕМА ПОДЯКА

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
OpenGL підтримка 1jem 
nicolith","特别感谢

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL 支持
nicolith","特別鳴謝

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL 支援
nicolith"
NAVIGATE DOWN,MOVER PARA BAIXO,NACH UNTEN BEWEGEN,LIIGU ALLA,MOVE DOWN,ABAJO,ABAJO,BAS,VAI SOTTO,下,아래로 이동,RUCH W DÓŁ,MOVER PARA BAIXO,ДВИЖЕНИЕ ВНИЗ,AŞAĞI GİT,ВНИЗ,向下移动,向下移動
SHELL INSERT2,"ELES ENTRAM NA CÂMARA DA ARMA
EM UMA SEQUÊNCIA DESCONHECIDA.","SIE GEHEN IN VERBORGENER
REIHENFOLGE IN DIE KAMMER.","NAD SISENEVAD RELVA
PEIDETUD JADAS.","THEY ENTER THE CHAMBER
IN A HIDDEN SEQUENCE.","SU DISPOSICIÓN EN LA RECÁMARA
PERMANECE OCULTA.","SU DISPOSICIÓN EN LA RECÁMARA
PERMANECE OCULTA.","LA SÉQUENCE D'ENTRÉE DANS
LA CHAMBRE EST DISSIMULÉE.","ENTRANO IN CANNA
IN SEQUENZA NASCOSTA.",薬室への装填順は不明,"탄은 비밀리에
 약실로 들어가지.","SĄ ŁADOWANE DO KOMORY
W UKRYTEJ SEKWENCJI.","ENTRAM NA CÂMARA DA ARMA
NUMA SEQUÊNCIA OCULTA.","ОНИ ПОПАДАЮТ В ПАТРОННИК
В СКРЫТОЙ ПОСЛЕДОВАТЕЛЬНОСТИ.",BİLİNMEYEN BİR SIRAYLA ŞARJÖRE YERLEŞTİRİLİR.,"ВОНИ ПОТРАПЛЯЮТЬ У НАБІЙНИК 
У НЕВІДОМІЙ ПОСЛІДОВНОСТІ.","谁都不知道子弹
上膛的次序","誰都不知道子彈
上膛的次序"
SHOTGUN,ESPINGARDA,SCHROTFLINTE,PUMPPÜSS,SHOTGUN,ESCOPETA,ESCOPETA,FUSIL,FUCILE,ショットガン,샷건,STRZELBA,ESPINGARDA,ДРОБОВИК,POMPALI TÜFEK,ДРОБОВИК,霰弹枪,霰彈槍
HANDCUFFS DESC,"O DEALER PERDE O
PRÓXIMO TURNO.","GEBER ÜBERSPRINGT DEN
NÄCHSTEN ZUG.","DIILER JÄTAB JÄRGMISE
KÄIGU VAHELE.","DEALER SKIPS THE
NEXT TURN.","EL REPARTIDOR SE SALTA
EL PRÓXIMO TURNO.","EL REPARTIDOR PIERDE
EL PRÓXIMO TURNO.","LE DONNEUR PASSE
LE TOUR SUIVANT.","IL BANCO SALTA
IL PROSSIMO TURNO.",ディーラーの次ターンをスキップ,"딜러가 다음 턴을
 건너뜁니다.","KRUPIER OPUSZCZA
KOLEJNĄ KOLEJKĘ.","O DEALER EVITA O
PRÓXIMO TURNO.","ДИЛЕР ПРОПУСКАЕИТ 
СЛЕДУЮЩИЙ ХОД",KURPİYER BİR SONRAKİ TURU PAS GEÇER,"КРУП'Є ПРОПУСКАЄ
НАСТУПНИЙ ХІД.","庄家下一回合
无法行动","莊家下一回合
無法行動"
DOORS KICKED,PORTAS CHUTADAS,TÜREN EINGETRETEN,UKSI LÖÖDUD .......,DOORS KICKED .......,PUERTAS ABIERTAS ......,PUERTAS ABIERTAS,PORTES ENFONCÉES,PORTE CALCIATE,蹴り開けたドア数…,걷어찬 문의 갯수,KOPNIĘTE DRZWI,PORTAS CHUTADAS ........,ВЫЛОМЛЕНО ДВЕРЕЙ ....,KAPILAR TEKMELENDİ,ВИЛАМАНО ДВЕРЕЙ,踢开的门,踢開的門
SHELL INSERT1,"EU INSIRO OS CARTUCHOS
DE FORMA ALEATÓRIA.","ICH LEGE DIE PATRONEN
IN UNBEKANNTER REIHENFOLGE EIN.","MA SISESTAN PADRUNID
TUNDMATUS JÄRJEKORRAS.","I INSERT THE SHELLS
IN AN UNKNOWN ORDER.","INSERTO LOS CARTUCHOS
EN UN ORDEN DESCONOCIDO.","INSERTO LOS CARTUCHOS
DE MANERA ALEATORIA.","J'INSÈRE LES CARTOUCHES
DANS UN ORDRE ALÉATOIRE.","INSERISCO I PROIETTILI
IN MANIERA CASUALE.",弾を不規則に装弾する,"탄은 내가 넣지
 순서는 아무도 몰라.","UMIESZCZAM NABOJE
W NIEZNANEJ KOLEJNOŚCI.","EU INSIRO OS CARTUCHOS
NUMA ORDEM DESCONHECIDA.","Я ВСТАВЛЯЮ ПАТРОНЫ
В СЛУЧАЙНОМ ПОРЯДКЕ.",FİŞEKLERİ BİLİNMEYEN BİR SIRAYLA YERLEŞTİRİYORUM.,"Я ЗАРЯДЖАЮ ПАТРОНИ 
У НЕВІДОМОМУ ПОРЯДКУ.","我按随机顺序
装入了子弹","我按隨機順序
裝入了子彈"
NAVIGATE LEFT,MOVER PARA A ESQUERDA,NACH LINKS BEWEGEN,LIIGU VASAKULE,MOVE LEFT,IZQUIERDA,IZQUIERDA,GAUCHE,VAI A SINISTRA,左,왼쪽 이동,RUCH W LEWO,MOVER PARA A ESQUERDA,ДВИЖЕНИЕ ВЛЕВО,SOLA GİT,ВЛІВО,向左移动,向左移動
TOTAL CASH,TOTAL DE DINHEIRO:,GESAMTGELD:,RAHA:,TOTAL CASH:,TOTAL DE EFECTIVO:,TOTAL DE EFECTIVO:,ARGENT TOTAL :,VINCITA TOTALE:,現金総額：,총 획득 캐시:,ŁĄCZNIE GOTÓWKA:,TOTAL DE DINHEIRO:,ВСЕГО ДЕНЕГ:,TOPLAM NAKİT:,ВИ ЗАРОБИЛИ:,现金总额：,現金總額：
OPTIONS,OPÇÕES,OPTIONEN,SEADED,OPTIONS,OPCIONES,OPCIONES,OPTIONS,OPZIONI,オプション,옵션,OPCJE,OPÇÕES,НАСТРОЙКИ,SEÇENEKLER,НАЛАШТУВАННЯ,选项,選項
BETTER NOT,PRESSIONE QUALQUER BOTÃO PARA SAIR,DRÜCKE EINE BELIEBIGE TASTE ZUM VERLASSEN,"LOODETAVASTI MA EI
NÄE SIND ROHKEM.","I BETTER NOT
SEE YOU AGAIN.","SERÁ MEJOR QUE
NO VUELVA A VERTE.",PULSA CUALQUIER BOTÓN PARA SALIR,APPUYER SUR UNE TOUCHE POUR QUITTER,PREMI QUALSIASI TASTO PER USCIRE,もう会いたくなかったよ,아무 버튼이나 눌러 시작,"NACIŚNIJ DOWOLNY PRZYCISK, ABY WYJŚĆ","É MELHOR EU NÃO
NUNCA MAIS TE VER.",НЕ ПОПАДАЙСЯ МНЕ БОЛЬШЕ НА ГЛАЗА,ÇIKMAK IÇIN HERHANGİ BİR TUŞA BASIN,НЕ ПОТРАПЛЯЙ МЕНІ БІЛЬШЕ НА ОЧІ.,按任意按钮退出,按任意按鈕退出
POLISH,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI
WELCOME,BOAS-VINDAS NOVAMENTE.,WILLKOMMEN ZURÜCK.,TERETULEMAST TAGASI.,WELCOME BACK.,HOLA DE NUEVO.,HOLA DE NUEVO.,RAVI DE TE REVOIR.,TI DO NUOVAMENTE IL BENVENUTO.,戻ってきたな,돌아오셨군요.,WITAMY Z POWROTEM.,BOAS-VINDAS NOVAMENTE.,С ВОЗВРАЩЕНИЕМ.,HOŞGELDİNİZ.,З ПОВЕРНЕННЯМ!,欢迎回来,歡迎回來
CHINESE_TRADITIONAL,繁体中文 (TRADITIONAL),繁体中文 (TRADITIONAL),繁体中文 (TRADITIONAL),繁体中文 (TRADITIONAL),繁体中文 (TRADITIONAL),繁体中文 (TRADITIONAL),繁体中文 (TRADITIONAL),繁体中文 (TRADITIONAL),繁体中文 (TRADITIONAL),繁体中文 (TRADITIONAL),繁体中文 (TRADITIONAL),繁体中文 (TRADITIONAL),繁体中文 (TRADITIONAL),繁体中文 (TRADITIONAL),繁体中文 (TRADITIONAL),繁体中文 (TRADITIONAL),繁体中文 (TRADITIONAL)
DOUBLE_UNLOCK,DESBLOQUEOU "O DOBRO OU NADA" E "MANIPULAÇÃO DE APOSTAS",DOPPELT ODER NICHTS UND SPIELMANIPULATION FREIGESCHALTET,TOPELT VÕI MITTE MIDAGI JA KIHILVEDE MANIPULEERIMINE ON AVATUD,"DOUBLE OR NOTHING AND MATCH FIXING UNLOCKED",¡"DOBLE O NADA" Y "MANIPULACIÓN DE APESTAS" DESBLOQUEADOS!,¡"DOBLE O NADA" Y "MANIPULACIÓN DE APUESTAS" DESBLOQUEADOS!,« QUITTE OU DOUBLE » ET « TRUCAGE DE MATCH » DISPONIBLES!,"LASCIA O RADDOPPIA" E "MANIPOLAZIONE DELLE SCOMMESSE" SBLOCCATI,ダブルオアナッシングと八百長がアンロックされました,"더블 아니면 꽝"과 "승부 조작" 잠금 해제,"PODWÓJNA STAWKA ALBO NIC" I "MANIPULOWANIE ZAKŁADÓW" ODZBLOKOWANE,DESBLOQUEOU "O DOBRO OU NADA" E "MANIPULAÇÃO DE APOSTAS",ОТКРЫТЫ РЕЖИМЫ «ВСЕ ИЛИ НИЧЕГО» И «ДОГОВОРНЫЕ МАТЧИ»,"İKİ KATI MI YOKSA HİÇ Mİ" VE "ŞİKE MAÇI" KİLİTLERİ AÇILDI,ВІДКРИТО РЕЖИМИ «УДВІЧІ БІЛЬШЕ АБО НІЧОГО» ТА «ДОГОВІРНІ МАТЧІ»,“加倍还是放弃”和“操纵赌局”已解锁！,「加倍還是放棄」和「操縱賭局」已解鎖！
BEER,CERVEJA,BIER,ÕLU,BEER,CERVEZA,CERVEZA,BIÈRE,BIRRA,ビール,맥주,PIWO,CERVEJA,ПИВО,BİRA,ПИВО,啤酒,啤酒
PORTUGUESE_PORTUGAL,PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL),PORTUGUÊS (PORTUGAL)
THE NIGHT,A NOITE É UMA CRIANÇA.,DIE NACHT IST NOCH JUNG.,ÖÖ ON NOOR.,THE NIGHT IS YOUNG.,LA NOCHE ES JOVEN.,LA NOCHE ES JOVEN.,LA NUIT NE FAIT QUE COMMENCER.,LA NOTTE È GIOVANE.,夜はこれからだ,아직 밤은 이르다고.,NOC JEST JESZCZE MŁODA.,A NOITE É UMA CRIANÇA.,НОЧЬ ТОЛЬКО НАЧАЛАСЬ.,GECE DAHA YENİ BAŞLIYOR.,УСЯ НІЧ ПОПЕРЕДУ.,夜色尚早,夜色尚早
NO SPACE,SEM ESPAÇO.,KEIN PLATZ MEHR.,RUUMI POLE.,OUT OF SPACE.,NO TE QUEDA ESPACIO.,NO TE QUEDA ESPACIO.,PLUS DE PLACE.,SPAZIO INSUFFICIENTE.,空いてないぞ,공간이 없군.,BRAK MIEJSCA.,SEM ESPAÇO.,НЕТ МЕСТА.,YERİN KALMAMIŞ,НЕМАЄ МІСЦЯ.,空间不足,空間不足
LIVEROUNDS,%s MUNIÇÕES REAIS.,%s SCHARFE MUNITION.,%s TERAVAT.,%s LIVE ROUNDS.,%s BALAS CARGADAS.,%s BALAS CARGADAS.,%s CARTOUCHES RÉELLES.,%s PROIETTILI VERI.,実包 %s 発,%s 실탄이야.,%s OSTRE NABOJE.,%s MUNIÇÕES REAIS.,%s БОЕВЫХ.,%s GERÇEK FİŞEK,%s БОЙОВИХ.,%s 实弹,%s 實彈
PLAYERWIN,%s GANHOU!,%s GEWINNT!,%s VÕITIS!,%s WINS!,¡%s GANA!,¡%s GANA!,%s GAGNE !,VINCE %s!,%s勝利！,%s 승리!,%s WYGRYWA!,%s GANHOU!,%s ПОБЕЖДАЕТ!,%s GALİBİYET!,%s ПЕРЕМАГАЄ!,%s 获胜！,%s 獲勝！
ITEMS EACH,%s ITENS CADA.,%s GEGENSTÄNDE JEWEILS.,%s ASJA MÕLEMALE.,%s ITEMS EACH.,%s OBJETOS PARA LOS DOS.,%s OBJETOS CADA UNO.,%s OBJETS CHACUN.,%s UNITÀ DI OGGETTI CIASCUNO.,互いに道具 %s つ,%s 개씩 아이템을 받는 거야.,%s PRZEDMIOTY(ÓW) KAŻDY.,%s ITENS CADA.,%s ПРЕДМ. КАЖДОМУ.,%s HER BİRİNE VERİLEN ÖĞE.,%s ПРЕДМЕТИ КОЖНОМУ.,每人 %s 件道具,每人 %s 件道具
