key,BR,DE,EE,EN,ES LATAM,ES,FR,IT,JA,KO,PL,PT,RU,TR,UA,ZHS,ZHT
HANDCUFFS DESC,"O DEALER PERDE O
PRÓXIMO TURNO.","GEBER ÜBERSPRINGT DEN
NÄCHSTEN ZUG.","DIILER JÄTAB JÄRGMISE
KÄIGU VAHELE.","DEALER SKIPS THE
NEXT TURN.","EL REPARTIDOR SE SALTA
EL PRÓXIMO TURNO.","EL REPARTIDOR PIERDE
EL PRÓXIMO TURNO.","LE DONNEUR PASSE
LE TOUR SUIVANT.","IL BANCO SALTA
IL PROSSIMO TURNO.",ディーラーの次ターンをスキップ,"딜러가 다음 턴을
건너뜁니다.","KRUPIER OPUSZCZA
KOLEJNĄ KOLEJKĘ.","O DEALER EVITA O
PRÓXIMO TURNO.","ДИЛЕР ПРОПУСКАЕТ 
СЛЕДУЮЩИЙ ХОД.","KRUPİYE, SIRASINI
PAS GEÇECEK.","КРУП'Є ПРОПУСКАЄ
НАСТУПНИЙ ХІД.","庄家下一回合
无法行动。","莊家下一回合
無法行動。"
<!MissingKey:NEAR>,PERTO,NAHE,LÄHEDAL,NEAR,CERCA,CERCA,PROCHE,VICINO,近隣,근처,BLISKO,PERTO,РЯДОМ,YAKIN,ПОРУЧ,附近,近
BETTER NOT,É MELHOR EU NUNCA MAIS VER VOCÊ.,"ICH WILL DICH NICHT
WIEDERSEHEN.","LOODETAVASTI MA EI
NÄE SIND ROHKEM.","I BETTER NOT
SEE YOU AGAIN.","SERÁ MEJOR QUE
NO VUELVA A VERTE.","SERÁ MEJOR QUE
NO VUELVA A VERTE.","MIEUX VAUT QUE JE
NE TE REVOIE PAS","È MEGLIO SE
NON TI FAI PIÙ VEDERE.",もう会いたくなかったよ,"당신을 다시는
보지 않았으면 하는군.","NIE CHCĘ CIĘ TU
WIĘCEJ WIDZIEĆ.",É MELHOR EU NUNCA MAIS TE VER.,НЕ ПОПАДАЙСЯ МНЕ БОЛЬШЕ НА ГЛАЗА,BİR DAHA GÖZÜME GÖZÜKME.,НЕ ПОТРАПЛЯЙ МЕНІ БІЛЬШЕ НА ОЧІ.,"最好不要让我
再见到你。","最好不要讓我
再見到你。"
MP_LOBBY START GAME,COMEÇAR O JOGO,SPIEL BEGINNEN,ALUSTA MÄNG,START GAME,COMENZAR PARTIDA,COMENZAR PARTIDA,COMMENCER LA PARTIE,INIZIA LA PARTITA,ゲーム開始,게임 시작,ROZPOCZNIJ GRĘ,COMEÇAR JOGO,НАЧАТЬ ИГРУ,OYUNU BAŞLAT,ПОЧАТИ ГРУ,开始游戏,開始遊戲
EXIT,SAIR,VERLASSEN,LAHKU,EXIT,SALIR,SALIR,QUITTER,ESCI,退出,나가기,WYJDŹ,SAIR,ВЫХОД,ÇIKIŞ,ВИХІД,退出,退出
NAVIGATE DOWN,MOVER PARA BAIXO,NACH UNTEN BEWEGEN,LIIGU ALLA,MOVE DOWN,ABAJO,ABAJO,BAS,VAI SOTTO,下,아래로 이동,RUCH W DÓŁ,MOVER PARA BAIXO,ДВИЖЕНИЕ ВНИЗ,AŞAĞI GİT,ВНИЗ,向下移动,向下移動
PHONE DESC,"UMA VOZ MISTERIOSA
TE CONTA SOBRE O FUTURO.","EINE GEHEIMNISVOLLE STIMME GIBT
DIR EINEN EINBLICK IN DIE ZUKUNFT.","TUNDMATU HÄÄL ANNAB
SULLE TULEVIKUST NÕU.","A MYSTERIOUS VOICE GIVES
YOU INSIGHT FROM THE FUTURE.","UNA VOZ MISTERIOSA
TE DA INFORMACIÓN SOBRE EL FUTURO.","UNA VOZ MISTERIOSA
TE DA INFORMACIÓN SOBRE EL FUTURO.","UNE VOIX MYSTÉRIEUSE VOUS DONNE
DES INFORMATIONS SUR LE FUTUR.","UNA VOCE MISTERIOSA TI DÀ
DELLE INFORMAZIONI PROVENIENTI DAL FUTURO.",謎の声が未来予知,"모르는 목소리가 미래에서
정보를 전해줍니다.","TAJEMNICZY GŁOS
PRZEPOWIADA CI PRZYSZŁOŚĆ.","UMA VOZ MISTERIOSA
CONTA-TE SOBRE O FUTURO.",ТАИНСТВЕННЫЙ ГОЛОС ОТКРОЕТ ЗАВЕСУ БУДУЩЕГО.,"GİZEMLİ BİR SES
GELECEKTEN ÖNSEZİ VERİR.","НЕЗНАЙОМИЙ ГОЛОС 
ОПИШЕ ВАШЕ МАЙБУТНЄ.","一个神秘的声音
 让你窥探未来。","一個神秘的聲音
 讓你窺探未來。"
HANDCUFFS,ALGEMAS,HANDSCHELLEN,KÄERAUAD,HANDCUFFS,ESPOSAS,ESPOSAS,MENOTTES,MANETTE,手錠,수갑,KAJDANKI,ALGEMAS,НАРУЧНИКИ,KELEPÇE,НАРУЧНИКИ,手铐,手銬
MP_NO LOBBIES FOUND,LOBBIES NÃO ENCONTRADOS.,KEINE LOBBYS GEFUNDEN.,ÜHTEGI RUUMI EI LEITUD.,NO LOBBIES FOUND.,NO SE ENCONTRARON SALAS,NO SE HAN ENCONTRADO SALAS,AUCUN SALON TROUVÉ.,NESSUNA PARTITA TROVATA.,ロビーが見つかりませんでした,로비를 찾을 수 없습니다.,NIE ZNALEZIONO LOBBY.,LOBBIES NÃO ENCONTRADOS.,ЛОББИ НЕ НАЙДЕНЫ.,LOBİ BULUNAMADI,ЛОБІ НЕ ЗНАЙДЕНО.,未找到房间。,無搜尋結果。
MP_UI LOBBY ID COPY,COPIAR ID DA SALA,LOBBY-ID KOPIEREN,KOPEERI RUUMI ID,COPY LOBBY ID,COPIAR EL ID DE LA SALA,COPIAR ID DE SALA,COPIER l'ID DU SALON,COPIA ID LOBBY,ロビーIDコピー,로비 ID 복사하기,SKOPIUJ ID LOBBY,COPIAR ID DO LOBBY,СКОПИРОВАТЬ КОД ЛОББИ,LOBİ KİMLİĞİNİ KOPYALA,СКОПІЮВАТИ КОД ЛОБІ,复制大厅ID,複製房間ID
MP_UI EXITING FINAL,SAINDO ...,VERLASSEN...,LAHKUMINE ...,EXITING ...,SALIENDO...,SALIENDO...,EN COURS DE SORTIE ...,PARTITA TERMINATA ...,退出…,종료 중...,OPUSZCZANIE GRY...,A SAIR ...,ВЫХОД...,ÇIKILIYOR...,ВИХІД ...,正在退出…,退出……
YOU,VOCÊ,DU,SINA,YOU,TÚ,TÚ,VOUS,TU,自分,나,TY,TU,ВЫ,SEN,ВИ,你,你
MP_UI INVITE FRIENDS,CONVIDAR AMIGOS,FREUNDE EINLADEN,KUTSU SÕPRU,INVITE FRIENDS,INVITAR AMIGOS,INVITAR AMIGOS,INVITER DES AMIS,INVITA AMICI,フレンド招待,친구 초대,ZAPROŚ ZNAJOMYCH,CONVIDAR AMIGOS,ПРИГЛАСИТЬ ДРУЗЕЙ,ARKADAŞLARINI DAVET ET,ЗАПРОСИТИ ДРУЗІВ,邀请好友,邀請朋友
MP_FIND PLAYERS,Encontre jogadores para jogarem com você,"Finde Spieler, mit denen du spielen kannst.",Otsi mängijaid kellega mängida,Find players to play with,Encuentra jugadores para jugar.,Encuentra jugadores y juega con ellos.,Trouver des joueurs avec qui jouer,Trova giocatori.,共にプレイする相手を探す,함께 게임할 플레이어를 찾습니다,Znajdź osoby do wspólnej gry,Encontra jogadores para jogarem contigo,Найдите товарищей по игре.,Birlikte oynayacak oyuncular bul,Знайти гравців для спільної гри,寻找一起游戏的玩家,尋找其他玩家
<!MissingKey:EXIT GAME>,SAIR DO JOGO,SPIEL BEENDEN,LAHKU MÄNGUST,EXIT GAME,SALIR DEL JUEGO,SALIR DEL JUEGO,QUITTER LE JEU,ESCI DAL GIOCO,ゲーム退出,게임 나가기,WYJŚCIE Z GRY,SAIR DO JOGO,ВЫЙТИ ИЗ ИГРЫ,OYUNDAN ÇIK,ВИЙТИ З ГРИ,退出游戏,退出遊戲
CAREFUL,TOME CUIDADO...,VORSICHTIG JETZT ...,"OLE ETTEVAATLIK, NÜÜD ...","CAREFUL, NOW ...",TEN MUCHO CUIDADO AHORA...,TEN MUCHO CUIDADO AHORA...,ATTENTION…,ATTENZIONE...,もう後はないぞ……,이제 조심해...,TERAZ OSTROŻNIE...,CUIDADO...,ОСТОРОЖНЕЕ...,DİKKATLİ OL...,ОБЕРЕЖНІШЕ...,现在小心……,現在當心……
UKRANIAN,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА
ADRENALINE,ADRENALINA,ADRENALIN,ADRENALIIN,ADRENALINE,ADRENALINA,ADRENALINA,ADRÉNALINE,ADRENALINA,アドレナリン,아드레날린,ADRENALINA,ADRENALINA,АДРЕНАЛИН,ADRENALİN,АДРЕНАЛІН,肾上腺素,腎上腺素
PRESS ANY KEY,PRESSIONE QUALQUER BOTÃO PARA SAIR,DRÜCKE EINE BELIEBIGE TASTE ZUM VERLASSEN,"VAJUTA MISTAHES NUPPU, ET LAHKUDA",PRESS ANY BUTTON TO EXIT,PRESIONA CUALQUIER BOTÓN PARA SALIR,PULSA CUALQUIER BOTÓN PARA SALIR,APPUYER SUR UNE TOUCHE POUR QUITTER,PREMI QUALSIASI TASTO PER USCIRE,ボタン押下で退出,아무 버튼이나 눌러 시작,"NACIŚNIJ DOWOLNY PRZYCISK, ABY WYJŚĆ",PRIME QUALQUER BOTÃO PARA SAIR,"НАЖМИТЕ ЛЮБУЮ КНОПКУ, ЧТОБЫ ВЫЙТИ",ÇIKMAK İÇİN HERHANGİ BİR TUŞA BAS,"НАТИСНІТЬ БУДЬ-ЯКУ КЛАВІШУ, ЩОБ ВИЙТИ",按任意按钮退出,按任意按鈕退出
MP_UI LOBBY MESSAGE NOT ENOUGH,FALHA AO COMEÇAR O JOGO: SEM JOGADORES O SUFICIENTE.,SPIEL KONNTE NICHT GESTARTET WERDEN. NICHT GENUG SPIELER.,MÄNGU ALUSTAMINE EBAÕNNESTUS: POLE PIISAVALT MÄNGIJAID.,FAILED TO START GAME: NOT ENOUGH PLAYERS.,ERROR AL COMENZAR LA PARTIDA: FALTAN JUGADORES.,ERROR AL COMENZAR PARTIDA: FALTAN JUGADORES.,ÉCHEC DU LANCEMENT DE LA PARTIE : PAS ASSEZ DE JOUEURS DISPONIBLES.,IMPOSSIBILE INIZIARE: NUMERO DI GIOCATORI INSUFFICIENTE.,ゲーム開始失敗：プレイヤー数不充分,게임 시작 실패: 플레이어 수가 부족합니다.,NIE UDAŁO SIĘ ROZPOCZĄĆ GRY: ZA MAŁO GRACZY.,FALHA AO COMEÇAR O JOGO: NÃO HÁ JOGADORES SUFICIENTES.,НЕ УДАЛОСЬ НАЧАТЬ ИГРУ: НЕДОСТАТОЧНО ИГРОКОВ,OYUN BAŞLATILAMADI: YETERLİ SAYIDA OYUNCU YOK.,НЕ ВДАЛОСЯ ПОЧАТИ ГРУ: НЕДОСТАТНЬО ГРАВЦІВ.,游戏启动失败：玩家人数不足。,無法開始遊戲：玩家不足。
GET UP,"LEVANTE-SE, %s!","STEH AUF, %s!","TÕUSE PÜSTI, %s!","GET UP, %s!","¡LEVÁNTATE, %s!","¡LEVÁNTATE, %s!","DEBOUT, %s !","ALZATI, %s!",起きろ%s！,"일어나, %s!","WSTAWAJ, %s!","LEVANTA-TE, %s!","ПОДНИМАЙСЯ, %s!","AYAĞA KALK, %s!","ВСТАВАЙТЕ, %s!",起来，%s！,起來，%s！
MP_UI LOBBY FULL,Falha ao entrar. A sala está cheia.,Spiel konnte nicht beigetreten werden. Diese Lobby ist voll.,Ühendumine ebaõnnestus. See ruum on täis.,Failed to join. This lobby is full.,No has podido unirte. La sala está llena.,No has podido unirte. La sala está llena.,Impossible de rejoindre. Le salon est plein.,Impossibile unirsi: la lobby è piena.,参加失敗 ロビー満員,연결에 실패하였습니다. 해당 로비는 꽉 찼습니다.,Nie udało się dołączyć. Lobby jest pełne.,Falha ao entrar. A sala está cheia.,Не удалось присоединиться. Это лобби уже заполнено.,Bağlanılamadı. Lobi dolu.,Не вдалося підключитися. Лобі заповнено.,加入失败。该房间已满员。,加入失敗。此房間已滿。
MEDICINE DESC,"50% DE CHANCE DE RECUPERAR 2 CARGAS.
SE NÃO, PERDE 1 CARGA.","50 % CHANCE, 2 LADUNGEN WIEDERZUERLANGEN.
WENN NICHT, VERLIERST DU 1 LADUNG.","50% TÕENÄOSUS TAASTADA 2 SÄRTSU.
KUI MITTE, KAOTAD 1 SÄRTSU.","50% CHANCE TO REGAIN 2 CHARGES.
IF NOT, LOSE 1 CHARGE.","PROBABILIDAD DEL 50% DE RECUPERAR 2 CARGAS.
EN CASO CONTRARIO, PIERDES 1 CARGA.","PROBABILIDAD DEL 50% DE RECUPERAR 2 CARGAS.
EN CASO CONTRARIO, PIERDES 1 CARGA.","50 % DE CHANCES D'OBTENIR 2 CHARGES.
SINON, VOUS PERDEZ 1 CHARGE.","50% DI PROBABILITÀ DI RIOTTENERE 2 CARICHE.
ALTRIMENTI PERDI 1 CARICA.","50%でライフ 2 回復
50%でライフ 1 喪失","50% 확률로 차지를 2 회복합니다.
약효가 없으면 차지를 1 잃습니다.","50% SZANS ODZYSKANIA 2 POZIOMÓW ZDROWIA.
W PRZECIWNYM WYPADKU UTRATA 1 POZIOMU ZDROWIA.","50% DE CHANCE DE RECUPERAR 2 CARGAS.
SE NÃO, PERDES 1 CARGA.","50% ВЕРОЯТНОСТЬ ВЕРНУТЬ 2 РАЗРЯДА
ИЛИ ЖЕ ПОТЕРЯТЬ 1 РАЗРЯД.","%50 İHTİMALLE 2 HAK KAZANIRSIN.
KAZANAMAZSAN 1 HAK KAYBEDERSİN.","ПОВЕРНІТЬ 2 ЗАРЯДИ З ЙМОВІРНІСТЮ 50%.
У РАЗІ НЕВДАЧІ ВИ ВТРАТИТЕ 1 ЗАРЯД.","有 50% 的几率恢复 2 点生命值。
 否则将损失 1 点生命值。","有 50% 的機率恢復 2 點生命值。
 否則將損失 1 點生命值。"
<!MissingKey:FAR>,DISTANTE,ENTFERNT,KAUGEL,FAR,LEJOS,LEJOS,LOINTAINE,LONTANO,遠隔,멀리까지,DALEKO,DISTANTE,ДАЛЕКО,UZAK,ДАЛЕКО,远处,遠
MP_FRIENDS ONLY,APENAS AMIGOS,NUR FREUNDE,AIND SÕPRADELE,FRIENDS ONLY,SOLO AMIGOS,SOLO AMIGOS,AMIS UNIQUEMENT,SOLO AMICI,フレンドオンリー,친구 전용,TYLKO DLA ZNAJOMYCH,APENAS AMIGOS,ТОЛЬКО ДЛЯ ДРУЗЕЙ,SADECE ARKADAŞLAR,ТІЛЬКИ ДЛЯ ДРУЗІВ,仅限好友,僅限朋友
ADRENALINE DESC,"ROUBA UM ITEM E
O USA IMEDIATAMENTE.","STIEHL EINEN GEGENSTAND UND
BENUTZE IHN SOFORT.","VARASTA DIILERILT ASI JA
KASUTA SEDA KOHE.","STEAL AN ITEM AND
USE IT IMMEDIATELY.","ROBAS UN OBJETO Y
LO USAS DE INMEDIATO.","ROBAS UN OBJETO Y
LO USAS DE INMEDIATO.","VOLEZ UN OBJET ET
UTILISEZ-LE IMMÉDIATEMENT.","RUBA UN OGGETTO
E USALO IMMEDIATAMENTE.","アイテム 1 つ盗み
即時使用","아이템을 훔쳐
즉시 사용합니다.","UKRADNIJ PRZEDMIOT
I NATYCHMIAST GO UŻYJ.","ROUBA UM ITEM E
USA-O IMEDIATAMENTE.","УКРАДИТЕ ПРЕДМЕТ И
СРАЗУ ЖЕ ЕГО ИСПОЛЬЗУЙТЕ.","BİR EŞYA ÇALIP
HEMEN KULLANIRSIN.","УКРАДІТЬ ПРЕДМЕТ І
ВІДРАЗУ ЇМ СКОРИСТАЙТЕСЬ.","偷窃一件物品
 并立即使用。","偷竊一件物品
 並立即使用。"
CHINESE_SIMPLIFIED,简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED),简体中文 (SIMPLIFIED)
MP_UI NUM OF BLANKS,NÚMERO DE FESTINS:,ANZAHL PLATZPATRONEN:,TÜHJE:,NUMBER OF BLANKS:,CANTIDAD DE BALAS DE FOGUEO:,NÚMERO DE BALAS DE FOGUEO:,NOMBRE DE CARTOUCHES INERTES :,NUMERO DI COLPI A SALVE:,空包数：,공포탄 수:,LICZBA ŚLEPYCH NABOJÓW:,NÚMERO DE MUNIÇÕES SEM BALA:,КОЛ-ВО ХОЛОСТЫХ:,KURUSIKI SAYISI:,КІЛЬКІСТЬ ХОЛОСТИХ:,空包弹数：,空包彈數：
MP_LOBBY SET PRIVATE,O LOBBY NÃO ESTÁ MAIS PÚBLICO.,DIE LOBBY IST NICHT MEHR ÖFFENTLICH ZUGÄNGLICH.,RUUM EI OLE ENAM AVALIK.,THE LOBBY IS NO LONGER PUBLIC.,LA SALA YA NO ES PÚBLICA.,LA SALA YA NO ES PÚBLICA,LE SALON N'EST PLUS PUBLIC.,LA PARTITA NON È PIÙ PUBBLICA.,ロビー非公開,로비를 비공개 상태로 설정합니다.,LOBBY NIE JEST JUŻ PUBLICZNE.,O LOBBY JÁ NÃO ESTÁ PÚBLICO.,ЛОББИ ПЕРЕСТАЛО БЫТЬ ОТКРЫТЫМ ДЛЯ ВСЕХ.,LOBİ ARTIK HERKESE AÇIK DEĞİL.,ЛОБІ БІЛЬШЕ НЕ ПУБЛІЧНЕ.,房间已取消公开。,已設為私人的房間。
MP_UI EDITING ROUND,RODADA DE EDIÇÃO:,RUNDE ANPASSEN:,KÄESOLEV VOOR:,EDITING ROUND:,EDITAR RONDA:,EDITANDO RONDA:,PARAMÉTRER LA MANCHE :,MODIFICA ROUND:,ラウンド編集：,라운드 편집:,RUNDA EDYCJI:,EDITAR RONDA:,НАСТРОЙКИ РАУНДА:,DÜZENLEME RAUNDU:,ЗМІНИТИ РАУНД:,编辑回合：,編輯回合：
MP_UI PLAYER DISCONNECTED,%s Se desconectou.,%s hat die Verbindung getrennt.,%s on mängust lahkunud.,%s has disconnected.,%s se ha desconectado.,%s se ha desconectado.,%s s'est déconnecté.,%s si è disconnesso.,%s 退室,%s 님의 연결이 끊겼습니다.,Gracz %s rozłączył się.,%s desligou-se.,%s покидает игру.,%s adlı oyuncunun bağlantısı kesildi.,Від'єднано гравця: %s,%s 已断开连接。,%s 已離線。
MP_TOGGLE BW,MORTE INCOLOR,SCHWARZ-WEISS-TOD,MUSTVALGE SURM,GREYSCALE DEATH,MUERTE GRISÁCEA,ESCALA DE GRISES AL MORIR,LA MORT EN NIVEAUX DE GRIS,FILTRO IN SCALA DI GRIGI,色なき死,사망 시 회색 화면으로,ŚMIERĆ W SKALI SZAROŚCI,MORTE EM PRETO E BRANCO,СЕРЫЕ ТОНА В СЛУЧАЕ СМЕРТИ,ÖLÜM ANINDA EKRANI GRİLEŞTİR,СІРІСТЬ ПРИ СМЕРТІ,黑白死亡效果,死亡時畫面轉為灰階
SHOTGUN DESC,"ATIRAR EM SI MESMO COM UMA MUNIÇÃO DE FESTIM
FAZ COM QUE O DEALER PERCA O PRÓXIMO TURNO.","DICH MIT EINER PLATZPATRONE ANZUSCHIESSEN,
ÜBERSPRINGT DEN ZUG DES GEBERS.","ENDA TULISTAMINE TÜHJAGA
JÄTAB DIILERI KÄIGU VAHELE.","SHOOTING YOURSELF WITH A BLANK
SKIPS THE DEALER'S TURN.","DISPARARTE CON UNA BALA DE FOGUEO
HACE QUE EL REPARTIDOR SE SALTE SU TURNO.","DISPARARTE CON UNA BALA DE FOGUEO
HACE QUE EL REPARTIDOR PIERDA SU TURNO.","SI VOUS VOUS TIREZ UNE CARTOUCHE INERTE DESSUS,
LE DONNEUR PASSE SON TOUR.","SPARANDOTI CON UN PROIETTILE A SALVE,
IL TURNO DEL BANCO  SALTERÀ.","自分へ撃って空包なら
ディーラーの次ターンをスキップ","공포탄으로 나를 쏘면
딜러의 턴을 건너뜁니다.","POSTRZELENIE SIĘ ŚLEPYM NABOJEM POWODUJE
OPUSZCZENIE KOLEJKI PRZEZ KRUPIERA.","DISPARA CONTRA TI MESMO COM UMA MUNIÇÃO SEM BALA E 
EVITA O TURNO DO DEALER.","ДИЛЕР ПРОПУСТИТ ХОД, ЕСЛИ ВЫ 
ВЫСТРЕЛИТЕ В СЕБЯ ХОЛОСТЫМ.","KENDİNİ KURUSIKI FİŞEKLE VURURSAN
KRUPİYENİN SIRASI ATLANIR.","ЯКЩО ВИСТРІЛИТИ В СЕБЕ ХОЛОСТИМ ПАТРОНОМ, КРУП'Є ПРОПУСТИТЬ ХІД.","用空包弹射击自己
会使庄家此回合无法行动。","用空包彈射擊自己
會使莊家此回合無法行動。"
DEALER,DEALER,GEBER,DIILER,DEALER,DEALER,REPARTIDOR,DONNEUR,BANCO,ディーラー,딜러,KRUPIER,DEALER,ДИЛЕР,KRUPİYE,КРУПʼЄ,庄家,莊家
SPANISH_LATIN AMERICA,ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA),ESPAÑOL (LATIN AMERICA)
WELCOME,BOAS-VINDAS NOVAMENTE.,WILLKOMMEN ZURÜCK.,TERETULEMAST TAGASI.,WELCOME BACK.,HOLA DE NUEVO.,HOLA DE NUEVO.,RAVI DE TE REVOIR.,TI DO NUOVAMENTE IL BENVENUTO.,戻ってきたな,돌아오셨군요.,WITAMY Z POWROTEM.,BOAS-VINDAS NOVAMENTE.,С ВОЗВРАЩЕНИЕМ.,TEKRAR HOŞ GELDİN.,З ПОВЕРНЕННЯМ!,欢迎回来。,歡迎回來。
MP_SEARCHING FOR LOBBIES,PROCURANDO POR LOBBIES,LOBBYS WERDEN GESUCHT ...,RUUMIDE OTSIMINE ...,SEARCHING FOR LOBBIES ...,BUSCANDO SALAS...,BUSCANDO SALAS...,RECHERCHE D'UN SALON EN COURS...,RICERCA PARTITA IN CORSO...,ロビー検索中…,로비를 검색 중입니다 ...,TRWA SZUKANIE LOBBY...,A PROCURAR LOBBIES,ИЩЕМ ЛОББИ...,LOBİ ARANIYOR...,ПОШУК ЛОБІ...,正在搜索房间…,房間搜尋中……
SELECT DEVICE,SELECIONAR DISPOSITIVO,GERÄT AUSWÄHLEN,VALI SEADELDIS,SELECT DEVICE,SELECCIONAR DISPOSITIVO,SELECCIONAR DISPOSITIVO,SÉLECTIONNER UN APPAREIL,SELEZIONA DISPOSITIVO,デバイス選択,기기 선택,WYBIERZ URZĄDZENIE,SELECIONAR DISPOSITIVO,ВЫБЕРИТЕ УСТРОЙСТВО,CİHAZ SEÇ,ОБЕРІТЬ ПРИСТРІЙ,选择设备,選擇裝置
MP_UI LOBBY NO CONNECTION,FALHA EM CONECTAR COM OS SERVIÇOS STEAM.,VERBINDUNG ZU STEAM KONNTE NICHT HERGESTELLT WERDEN.,STEAM-IGA ÜHENDUS EBAÕNNESTUS.,FAILED TO CONNECT WITH STEAM SERVICES.,ERROR AL CONECTARSE CON LOS SERVICIOS DE STEAM.,ERROR AL CONECTARSE CON LOS SERVICIOS DE STEAM.,LA CONNEXION AVEC LES SERVICES STEAM À ÉCHOUÉ.,IMPOSSIBILE CONNETTERSI AI SERVER DI STEAM.,Steamサービスに接続失敗,스팀 서비스에 연결하지 못하였습니다.,NIE UDAŁO SIĘ POŁĄCZYĆ Z USŁUGAMI STEAM.,ERRO AO ESTABELECER LIGAÇÃO AOS SERVIÇOS DO STEAM.,НЕ УДАЛОСЬ ПОДКЛЮЧИТЬСЯ К СЛУЖБАМ STEAM.,STEAM HİZMETLERİNE BAĞLANILAMADI.,НЕ ВДАЛОСЯ ПІДКЛЮЧИТИСЯ ДО СЛУЖБ STEAM.,无法连接到 Steam 服务,無法連線至Steam的伺服器。
MP_UI LOBBY ID ERROR INVALID CLIPBOARD,A ÁREA DE TRANSFERÊNCIA NÃO POSSUI UM ID DE SALA.,KEINE LOBBY-ID IN DER ZWISCHENABLAGE.,LÕIKEPUHVER EI SISALDA RUUMI ID-D.,CLIPBOARD DOES NOT CONTAIN A LOBBY ID.,EL PORTAPAPELES NO CONTIENE NINGÚN ID DE SALA.,EL PORTAPAPELES NO CONTIENE NINGÚN ID DE SALA.,LE PRESSE-PAPIERS NE CONTIENT PAS D'ID DE SALON.,NESSUN ID LOBBY COPIATO,ロビーID未コピー,클립보드에 로비 ID가 복사되어 있지 않습니다.,SCHOWEK NIE ZAWIERA ID LOBBY.,A ÁREA DE TRANSFERÊNCIA NÃO CONTÉM UM ID DE LOBBY.,В БУФЕРЕ ОБМЕНА НЕТ КОДА ЛОББИ.,PANODA BİR LOBİ KİMLİĞİ YOK.,В БУФЕРІ ОБМІНУ НЕМА КОДУ ЛОБІ.,剪贴板中未包含大厅ID。,尚未複製房間ID
UNFORTUNATE,QUE PENA...,WIE BEDAUERLICH ...,"APPI, KUI KURB ...",HOW UNFORTUNATE ...,QUÉ PENA ...,QUÉ PENA...,QUEL DOMMAGE…,CHE SFORTUNA...,残念だったな……,운도 지지리 없지..,CO ZA PECH...,QUE PENA ...,НЕ ПОВЕЗЛО...,YAZIK OLDU...,ЯК ПРИКРО...,真遗憾……,真遺憾……
GERMAN,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH
ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH
DRILL,VOCÊ SABE O QUE FAZER.,"DU WEISST, WIE ES LÄUFT.","TEAD KÜLL, JUBA.",YOU KNOW THE DRILL.,YA SABES CÓMO VA ESTO.,YA SABES CÓMO VA ESTO.,TU SAIS COMMENT ÇA MARCHE.,SAI GIÀ COME FUNZIONA.,もう分かってるだろ,방법은 잘 알겠지.,"WIESZ, CO MASZ ROBIĆ.",TU SABES O QUE FAZER.,ПРАВИЛА ТЫ ЗНАЕШЬ...,NE YAPACAĞINI BİLİYORSUN.,ПРАВИЛА ВИ ЗНАЄТЕ.,你知道该怎么做。,你知道該如何做。
RUSSIAN,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ
